Cultivar;Local;Bloco;Produtividade
1;Lavras;1;1000
2;Lavras;1;800
3;Lavras;1;700
4;Lavras;1;920
5;Lavras;1;820
6;Lavras;1;980
7;Lavras;1;1020
8;Lavras;1;600
9;Lavras;1;620
10;Lavras;1;930
1;Lavras;2;1090
2;Lavras;2;940
3;Lavras;2;700
4;Lavras;2;1040
5;Lavras;2;800
6;Lavras;2;870
7;Lavras;2;1000
8;Lavras;2;600
9;Lavras;2;600
10;Lavras;2;900
1;Lavras;3;1050
2;Lavras;3;800
3;Lavras;3;800
4;Lavras;3;800
5;Lavras;3;890
6;Lavras;3;1050
7;Lavras;3;800
8;Lavras;3;700
9;Lavras;3;610
10;Lavras;3;900
1;Patos de Minas;1;470
2;Patos de Minas;1;460
3;Patos de Minas;1;500
4;Patos de Minas;1;200
5;Patos de Minas;1;120
6;Patos de Minas;1;200
7;Patos de Minas;1;590
8;Patos de Minas;1;300
9;Patos de Minas;1;300
10;Patos de Minas;1;200
1;Patos de Minas;2;500
2;Patos de Minas;2;600
3;Patos de Minas;2;470
4;Patos de Minas;2;280
5;Patos de Minas;2;320
6;Patos de Minas;2;290
7;Patos de Minas;2;570
8;Patos de Minas;2;360
9;Patos de Minas;2;340
10;Patos de Minas;2;260
1;Patos de Minas;3;500
2;Patos de Minas;3;500
3;Patos de Minas;3;580
4;Patos de Minas;3;300
5;Patos de Minas;3;330
6;Patos de Minas;3;240
7;Patos de Minas;3;500
8;Patos de Minas;3;300
9;Patos de Minas;3;320
10;Patos de Minas;3;280
